Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes
Landfill,Baker Sanitary Landfill,Private,Se Of Baker City,Baker City,OR,97907,Baker,541-523-2626,http://www.bakersanitary.com/,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,
Landfill,Haines Landfill,Government,"Sec 27, T7S, R39E",Haines,OR,97833,Baker,541-856-3366,https://www.cityofhainesor.org/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Transfer Station,Huntington Transfer Station,Government,"Approx. 1 Mile East On Hwy 30, Then Sout",Huntington,OR,97907,Baker,541-869-2202,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Transfer Station,Larue Transfer Station,Government,43401 Sag Rd ,Halfway,OR,97834,Baker,541-742-6857,,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Transfer Station,UnityTransfer Station,Government,1 1/2 - 2 Mi. South Of Unity,Unity,OR,97884,Baker,541-446-3544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Tire Facility,"Second Life Recycling, LLC",Private,33060 Shirttail Creek Road,Durkee,OR,97905,Baker,208-850-6870,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,
Waste Tire Facility,Ash Grove Cement Plant,Private,300 Cement Plant Road,Durkee,OR,97905,Baker,541-877-2411,https://www.ashgrove.com/,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,
Compost Facility,Processing & Recovery Center,Private,29969 Camp Adair Rd,Monmouth,OR,97361,Benton,541-745-5792,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Compost Facility,SIF Biogas Plant,Private,3122 Stahlbush Island Rd,Corvallis,OR,97333,Benton,541-760-3127,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Compost Facility,"Gathering Together Farm, Inc",Private,25159 Grange Hall Road,Philomath,OR,97370,Benton,541-929-4270,http://www.gatheringtogetherfarm.com/,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
Landfill,Coffin Butte Landfill,Private,29175 Coffin Butte Rd,Corvallis,OR,97330,Benton,541-230-5546,https://www.republicservices.com/customer-support/facilities?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=F32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
